Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %",season,Position_Group,PDI,processing_date,data_source,ml_features_applied
P. Boonyong,Praweenwat Boonyong,157711,Customs Ladkrabang United,Prachuap,https://cdn5.wyscout.com/photos/team/public/g10552_120x120.png,Thai League 3,"CB, LCB",CB,45.0,LCB,41.0,,0.0,32.0,1990-02-13,50000,,18,1216,1,0.8200000000000001,0,0.0,9.62,52.31,Thailand,['Thailand'],right,182,72,False,7.03,4.74,59.38,2.52,38.24,0.07,0.1,0.44,4.14,5.51,0.89,5,0.37,0,0.0,0.3,0.07,1,0.07,0.06,0,0.0,2,0.15,50.0,50.0,0.0,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.3,75.0,0.96,46.15,0.3,0.07,0.0,22.06,0.15,0.44,32.12,85.94,14.8,77.0,1.33,94.44,25.46,94.77,6.59,52.81,21.51,34.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.37,54.24,0.81,36.36,0.44,50.0,0.37,0.0,6.0,65.43,95.11,13.62,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,2.52,0.0,0.0,0.0,0.0,0,0.0,2021-22,DEF,45.62128333796919,2025-08-09T10:11:29.451980,simple_processor,True
W. Chaikultewin,Wongsakorn Chaikultewin,440242,Muang Thong United,Muang Thong United,https://cdn5.wyscout.com/photos/team/public/2860_120x120.png,Thai League,"LW, RCMF, LAMF",LW,38.0,RCMF,17.0,LAMF,12.0,25.0,1996-09-16,125000,2025-06-30,21,1208,0,1.02,0,0.72,15.72,38.86,Thailand,['Thailand'],right,168,0,False,6.33,5.74,42.86,0.67,22.22,0.3,0.47,0.15,3.58,5.67,1.42,2,0.15,0,0.0,1.42,0.0,0,0.0,0.08,0,0.0,13,0.97,7.69,0.0,0.0,0.89,25.0,0.3,50.0,0.6000000000000001,12.5,0.15,2.09,39.29,6.5600000000000005,36.36,1.49,0.6000000000000001,0.37,33.53,0.8200000000000001,1.49,42.76,90.94,8.94,79.17,11.18,97.33,39.26,94.12,2.61,65.71,15.86,29.72,0.05,0.6000000000000001,0.0,0.0,0.67,44.44,0.37,4.1,80.0,2.16,55.17,0.8200000000000001,45.45,1.12,0.22,5.59,81.33,92.59,14.08,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.67,0.0,0.0,0.0,0.6000000000000001,0,0.0,2021-22,FWD,47.347206243366756,2025-08-09T10:11:29.451980,simple_processor,True
C. Wangthaphan,Chirawat Wangthaphan,-172309,Khon Kaen United,Khon Kaen United,https://cdn5.wyscout.com/photos/team/public/g32801_120x120.png,Thai League,GK,GK,100.0,,0.0,,0.0,24.0,1998-07-26,150000,2025-06-30,13,1202,0,0.0,0,0.0,1.8,75.0,Thailand,['Thailand'],,0,0,False,2.77,0.22,33.33,1.05,85.71,0.0,0.0,0.0,2.7,3.42,0.0,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,0.0,0.0,0.0,5.17,0.22,0.45,14.15,73.54,8.39,61.61,0.0,0.0,7.94,96.23,6.21,44.58,38.16,44.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,23.33,0.3,0.0,0.07,0.0,0.0,0.0,3.44,76.09,90.54,5.54,23,1.72,55,4.12,2,58.18,18.53,1.39,-4.47,0.0,0.0,2.85,1.05,0.0,0.0,0.0,0.0,0,0.0,2021-22,GK,47.570599723737104,2025-08-09T10:11:29.451980,simple_processor,True
Han-Cheol Jung,Han-Cheol Jung,-85377,Gimpo Citizen,Suphanburi,https://cdn5.wyscout.com/photos/team/public/g23900_120x120.png,K League 2,"RCB3, LCB, LCB3",RCB3,43.0,LCB,34.0,LCB3,11.0,26.0,1996-06-20,300000,2024-12-31,13,1202,3,1.36,0,0.0,11.61,59.35,Korea Republic,['Korea Republic'],right,186,0,False,7.26,4.64,67.74,4.57,59.02,0.45,0.5700000000000001,1.05,3.67,4.67,0.75,3,0.22,0,0.0,0.45,0.22,3,0.22,0.1,3,0.22,15,1.12,33.33,20.0,0.0,0.07,100.0,0.07,100.0,0.0,0.0,0.0,0.0,0.0,0.37,20.0,1.12,0.3,0.0,14.45,0.3,0.15,22.46,84.33,10.41,70.5,0.67,88.89,17.6,93.19,4.79,51.56,22.99,39.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52,59.57,0.6000000000000001,25.0,0.15,100.0,0.07,0.07,4.79,67.19,97.6,9.36,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,4.57,0.0,0.0,0.0,0.0,0,0.0,2021-22,DEF,56.712389414967106,2025-08-09T10:11:29.451980,simple_processor,True
P. Sawandee,Pralong Sawandee,397256,,Nakhon Ratchasima,,,LB,LB,96.0,,0.0,,0.0,35.0,1987-06-04,0,,20,1188,2,0.23,1,1.46,11.52,48.68,Thailand,['Thailand'],,170,0,False,7.05,6.14,46.91,1.44,47.37,0.61,0.9,0.23,3.56,5.26,1.06,5,0.38,0,0.0,2.05,0.15,2,0.15,0.02,0,0.0,7,0.53,28.57,28.571,0.08,3.41,35.56,3.33,34.09,0.08,100.0,0.38,0.91,58.33,1.97,69.23,0.53,1.29,0.61,26.44,2.05,0.76,36.36,77.5,16.74,71.49,4.17,96.36,29.24,86.27,3.94,48.08,21.23,33.1,0.11,0.91,0.08,0.0,0.3,50.0,0.45,6.74,71.91,3.33,47.73,0.61,25.0,0.38,1.06,9.32,82.93,80.15,9.92,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,1.44,0.15,0.08,0.0,0.53,0,0.0,2021-22,DEF,47.3482330548129,2025-08-09T10:11:29.451980,simple_processor,True
S. Kingkaew,Suwannapat Kingkaew,288453,Phrae United,Ratchaburi,https://cdn5.wyscout.com/photos/team/public/g27282_120x120.png,Thai League 2,"CB, LCB3, RCB",CB,36.0,LCB3,35.0,RCB,14.0,28.0,1994-06-10,75000,2025-06-30,18,1173,0,0.0,0,0.33,8.9,46.55,Thailand,['Thailand'],right,176,67,False,7.75,4.91,45.31,2.38,48.39,0.15,0.2,0.92,5.37,6.98,1.0,4,0.31,1,0.08,0.08,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.31,50.0,0.0,0.23,0.08,16.8,0.31,0.15,26.7,82.18,13.73,75.42,0.46,100.0,23.02,88.0,3.68,45.83,20.44,35.59,0.03,0.08,0.0,0.0,0.08,100.0,0.0,4.3,57.14,0.61,25.0,0.84,27.27,0.15,0.0,6.6,72.09,89.74,8.98,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,2.38,0.0,0.0,0.0,0.0,0,0.0,2021-22,DEF,48.815677576606156,2025-08-09T10:11:29.451980,simple_processor,True
J. Wonggorn,Jaroensak Wonggorn,-74431,BG Pathum United FC,Samut Prakan City,https://cdn5.wyscout.com/photos/team/public/g13080_120x120.png,Thai League,RW,RW,87.0,,0.0,,0.0,25.0,1997-05-18,300000,2029-06-30,14,1171,2,1.38,3,3.47,12.53,46.01,Thailand,['Thailand'],right,167,60,False,2.84,2.92,44.74,1.69,36.36,0.31,0.49,0.0,1.23,1.94,0.6900000000000001,2,0.15,0,0.0,5.38,0.15,2,0.15,0.11,1,0.08,23,1.77,47.83,8.696,0.23,6.15,33.75,0.54,28.57,5.61,34.25,0.85,3.84,56.0,6.76,53.41,2.15,3.0,1.54,33.66,2.15,1.23,41.04,79.78,7.76,73.27,11.45,96.64,32.13,89.95,3.0,64.1,19.46,37.5,0.27,2.38,0.15,0.0,0.77,40.0,0.92,5.15,74.63,6.38,43.37,1.0,38.46,0.92,1.92,7.07,90.22,68.81,15.53,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,1.69,0.54,0.23,66.67,2.08,0,0.0,2021-22,FWD,51.42123116474515,2025-08-09T10:11:29.451980,simple_processor,True
C. Tongkiri,Chatmongkol Tongkiri,-117414,Prachuap,BG Pathum United FC,https://cdn5.wyscout.com/photos/team/public/g24607_120x120.png,Thai League,"DMF, RCMF",DMF,60.0,RCMF,22.0,,0.0,25.0,1997-05-05,175000,2026-06-30,22,1170,0,0.35,0,0.23,16.77,54.59,Thailand,['Thailand'],right,0,0,False,8.0,7.92,62.14,1.08,50.0,0.54,0.75,0.31,2.54,3.55,1.77,4,0.31,0,0.0,1.46,0.0,0,0.0,0.03,0,0.0,9,0.6900000000000001,22.22,0.0,0.0,0.31,25.0,0.0,0.0,0.31,25.0,0.0,1.85,58.33,5.08,50.0,0.15,0.46,0.08,23.85,0.31,1.08,35.15,88.4,10.54,73.72,4.31,96.43,32.0,91.59,2.85,59.46,18.37,26.01,0.02,0.38,0.0,0.08,0.31,50.0,0.15,5.77,76.0,1.0,46.15,0.77,40.0,0.38,0.08,6.23,80.25,95.0,15.38,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,1.08,0.0,0.0,0.0,0.0,0,0.0,2021-22,MID,53.42018384044316,2025-08-09T10:11:29.451980,simple_processor,True
E. Panya,Ekanit Panya,-104146,Urawa Reds,Chiangmai United,https://cdn5.wyscout.com/photos/team/public/1212_120x120.png,J1 League,"AMF, LW, LWF",AMF,33.0,LW,25.0,LWF,19.0,22.0,1999-10-21,0,,13,1169,2,1.61,3,2.16,20.94,40.81,Thailand,['Thailand'],right,168,68,True,3.85,4.23,50.91,1.62,19.05,0.31,0.43,0.0,1.39,1.94,1.08,4,0.31,0,0.0,5.0,0.15,2,0.15,0.12,0,0.0,23,1.77,39.13,8.696,0.23,1.54,50.0,1.0,53.85,0.54,42.86,0.23,5.24,58.82,11.7,40.79,2.16,2.0,1.39,22.56,2.0,1.39,32.87,81.03,9.55,68.55,6.16,95.0,28.72,86.06,2.77,41.67,18.22,34.19,0.17,1.77,0.23,0.0,1.23,37.5,0.54,3.77,61.22,3.16,70.73,1.62,42.86,1.39,0.6900000000000001,5.08,78.79,82.61,10.62,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,0.92,0.23,0.0,1.54,0,0.0,2021-22,MID,58.08493957147843,2025-08-09T10:11:29.451980,simple_processor,True
J. Wachpirom,Jakkrit Wachpirom,411493,Sukhothai,Suphanburi,https://cdn5.wyscout.com/photos/team/public/g27290_120x120.png,Thai League,"RB, RWB, RB5",RB,29.0,RWB,23.0,RB5,20.0,25.0,1997-01-26,0,,13,1166,1,0.17,0,0.53,17.29,44.2,Thailand,['Thailand'],right,173,70,False,10.57,7.56,54.08,1.78,39.13,0.93,1.16,0.31,5.5600000000000005,6.97,1.0,1,0.08,0,0.0,1.47,0.08,1,0.08,0.01,1,0.08,6,0.46,33.33,16.667,0.0,1.78,30.43,0.15,50.0,1.54,25.0,0.39,1.78,39.13,4.86,31.75,0.39,0.62,0.0,17.75,1.7000000000000002,1.08,26.63,74.49,10.34,66.42,4.25,89.09,21.84,82.33,3.16,43.9,19.98,38.03,0.04,0.6900000000000001,0.0,0.0,0.23,33.33,0.08,4.63,63.33,2.01,38.46,0.31,25.0,0.31,0.54,7.26,75.53,74.49,7.56,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,1.78,0.0,0.0,0.0,0.0,0,0.0,2021-22,DEF,52.69297082295771,2025-08-09T10:11:29.451980,simple_processor,True
W. Namvech,Worawut Namvech,432788,Ratchaburi,Port FC,https://cdn5.wyscout.com/photos/team/public/g14851_120x120.png,Thai League,"LCB, LCB3, LB",LCB,33.0,LCB3,29.0,LB,25.0,27.0,1995-07-04,100000,2025-06-30,22,1163,0,0.4,0,0.03,14.94,56.48,Thailand,['Thailand'],,0,0,False,9.36,4.95,65.63,4.49,44.83,0.23,0.44,0.23,5.88,11.12,0.62,1,0.08,0,0.0,0.7000000000000001,0.0,0,0.0,0.03,0,0.0,4,0.31,0.0,0.0,0.0,0.54,42.86,0.54,42.86,0.0,0.0,0.08,0.54,57.14,2.01,65.38,0.23,0.31,0.23,28.4,1.24,1.47,40.78,89.37,16.56,81.78,2.71,100.0,37.22,93.35,3.17,48.78,19.84,32.49,0.0,0.15,0.0,0.0,0.31,50.0,0.0,4.64,75.0,0.7000000000000001,44.44,0.31,50.0,0.08,0.23,5.88,73.68,95.39,16.79,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.63,0.0,4.49,0.0,0.0,0.0,0.0,0,0.0,2021-22,DEF,53.140633591982976,2025-08-09T10:11:29.451980,simple_processor,True
A. Boodjinda,Arthit Boodjinda,431416,Rayong,Police Tero,https://cdn5.wyscout.com/photos/team/public/g23913_120x120.png,Thai League,"CF, LWF",CF,68.0,LWF,14.0,,0.0,27.0,1994-08-07,100000,2025-06-30,24,1160,4,4.44,1,1.04,21.03,40.96,Thailand,['Thailand'],right,180,0,True,3.03,2.64,61.76,6.13,39.24,0.0,0.0,0.16,1.4,1.89,1.63,0,0.0,1,0.08,2.72,0.31,4,0.31,0.34,2,0.16,26,2.02,30.77,15.385,0.08,0.85,45.45,0.54,57.14,0.31,25.0,0.0,3.41,47.73,9.62,40.32,2.79,1.16,0.62,5.35,1.47,1.71,9.23,75.63,1.78,39.13,3.41,93.18,7.99,80.58,0.47,50.0,13.13,6.48,0.08,0.62,0.08,0.0,0.31,25.0,0.16,0.85,36.36,0.7000000000000001,55.56,0.31,25.0,0.16,0.31,0.54,57.14,87.1,2.41,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.13,0.0,0.0,0.0,0.0,0,0.0,2021-22,FWD,57.09076310524539,2025-08-09T10:11:29.451980,simple_processor,True
R. Chaicumde,Ronnapee Chaicumde,-74939,MH Nakhonsi,Chiangmai United,https://cdn5.wyscout.com/photos/team/public/g-14912_120x120.png,,RCB3,RCB3,82.0,,0.0,,0.0,30.0,1992-07-18,50000,2025-06-30,14,1155,0,0.0,0,0.0,13.01,50.9,Thailand,['Thailand'],right,190,0,False,8.65,6.86,55.68,2.81,44.44,0.78,1.07,0.39,4.05,5.55,1.32,4,0.31,0,0.0,0.31,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.39,40.0,0.08,100.0,0.31,25.0,0.0,0.47,33.33,1.09,28.57,0.31,0.55,0.0,15.82,0.47,0.39,26.49,77.65,14.49,70.43,1.95,92.0,19.17,86.18,6.94,56.18,22.44,36.29,0.0,0.0,0.0,0.08,0.0,0.0,0.0,4.36,60.71,0.62,50.0,0.31,25.0,0.31,0.16,7.01,71.11,89.0,7.79,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.0,2.81,0.0,0.0,0.0,0.0,0,0.0,2021-22,DEF,51.814764944970676,2025-08-09T10:11:29.451980,simple_processor,True
H. Anier,Henri Anier,28645,Warriors,Muang Thong United,https://cdn5.wyscout.com/photos/team/public/g40098_120x120.png,Premier League,CF,CF,99.0,,0.0,,0.0,31.0,1990-12-17,300000,,14,1153,8,5.99,0,0.87,18.19,30.04,Estonia,['Estonia'],right,183,84,False,2.5,2.97,39.47,3.75,45.83,0.16,0.27,0.16,1.17,2.01,2.19,3,0.23,0,0.0,2.97,0.62,8,0.62,0.47,1,0.08,39,3.04,43.59,20.513,0.0,0.94,33.33,0.62,12.5,0.31,75.0,0.08,1.87,54.17,7.42,24.21,4.45,0.55,0.16,10.93,2.42,0.62,13.89,73.03,1.72,63.64,4.22,87.04,12.41,77.36,0.62,50.0,17.93,17.51,0.07,0.7000000000000001,0.0,0.08,0.39,80.0,0.47,1.25,68.75,0.7000000000000001,55.56,0.23,66.67,0.39,0.23,1.25,50.0,63.33,4.68,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0,0.0,2021-22,FWD,51.13969450856176,2025-08-09T10:11:29.451980,simple_processor,True
Thitathorn Aksornsri,Thitathorn Aksornsri,-74422,Uthai Thani,Prachuap,https://cdn5.wyscout.com/photos/team/public/g27287_120x120.png,Thai League,"LCB3, LB",LCB3,77.0,LB,18.0,,0.0,24.0,1997-11-08,75000,2025-06-30,14,1148,0,0.61,1,0.47,15.29,50.26,Thailand,['Thailand'],,0,0,False,8.31,6.04,50.65,3.92,46.0,0.24,0.34,0.08,5.02,7.27,1.65,2,0.16,0,0.0,1.8,0.0,0,0.0,0.05,0,0.0,12,0.94,25.0,0.0,0.08,0.94,58.33,0.86,54.55,0.08,100.0,0.24,1.41,66.67,2.98,50.0,1.25,0.94,0.39,27.2,0.16,0.86,40.14,83.2,20.85,76.32,2.9,91.89,34.65,87.56,4.55,55.17,19.12,30.3,0.04,0.31,0.0,0.08,0.39,20.0,0.24,5.41,75.36,0.78,60.0,0.63,37.5,0.39,0.55,8.78,72.32,91.18,10.66,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,3.92,0.0,0.0,0.0,0.0,0,0.0,2021-22,DEF,52.89477781166269,2025-08-09T10:11:29.451980,simple_processor,True
T. Srisai,Tanasak Srisai,225999,Chiangrai United,Chiangrai United,https://cdn5.wyscout.com/photos/team/public/g14802_120x120.png,Thai League,LCB3,LCB3,97.0,,0.0,,0.0,32.0,1989-09-25,100000,2025-06-30,17,1148,0,0.48,0,0.09,15.44,62.94,Thailand,['Thailand'],right,183,81,False,8.47,6.35,74.07,3.29,59.52,0.08,0.11,0.24,3.68,5.28,0.94,4,0.31,2,0.16,0.55,0.0,0,0.0,0.04,0,0.0,7,0.55,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,55.56,2.43,64.52,0.31,0.86,0.24,25.71,0.47,1.88,36.61,89.08,17.4,81.53,1.49,100.0,32.69,92.57,3.92,60.0,19.64,35.0,0.01,0.08,0.0,0.08,0.08,0.0,0.0,6.11,73.08,0.31,25.0,0.08,0.0,0.08,0.0,8.07,81.55,96.11,14.11,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,3.29,0.08,0.08,0.0,0.0,0,0.0,2021-22,DEF,49.91181158114598,2025-08-09T10:11:29.451980,simple_processor,True
K. Katō,Kōhei Katō,236556,CPK,Chiangrai United,https://cdn5.wyscout.com/photos/team/public/g23702_120x120.png,Primeira Divisão,"RCMF, RWF, RB5",RCMF,38.0,RWF,25.0,RB5,13.0,33.0,1989-06-14,100000,,15,1106,1,1.51,0,0.62,14.24,45.14,Japan,['Japan'],right,173,70,False,8.38,7.41,41.76,1.55,73.68,1.22,1.57,0.41,4.07,5.23,2.03,2,0.16,0,0.0,1.14,0.08,1,0.08,0.12,0,0.0,9,0.73,55.56,11.111,0.0,1.63,25.0,0.0,0.0,1.63,25.0,0.0,0.49,66.67,2.36,44.83,1.63,0.24,0.16,20.1,0.81,0.73,27.91,82.51,7.57,69.89,6.43,98.73,24.82,88.85,1.55,36.84,17.34,24.19,0.05,0.5700000000000001,0.0,0.0,0.0,0.0,0.24,3.01,70.27,1.38,35.29,0.16,50.0,0.08,0.49,3.99,69.39,81.58,9.28,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5700000000000001,0.0,1.55,0.0,0.0,0.0,0.08,0,0.0,2021-22,MID,47.97572743535639,2025-08-09T10:11:29.451980,simple_processor,True
M. Khitam,Mahmoud Khitam,-316478,,Nong Bua Pitchaya FC,,,"RAMF, RW, CF",RAMF,31.0,RW,23.0,CF,10.0,29.0,1993-06-26,0,,12,1098,3,3.43,3,2.14,21.97,44.03,Thailand,['Thailand'],,0,0,False,4.26,4.84,59.32,3.61,40.91,0.0,0.0,0.0,1.39,1.76,1.97,4,0.33,0,0.0,4.92,0.25,3,0.25,0.28,0,0.0,31,2.54,41.94,9.677,0.25,3.85,31.91,1.23,26.67,2.62,34.38,0.49,4.75,48.28,10.74,38.17,3.11,1.64,0.8200000000000001,16.07,1.15,0.98,24.43,70.47,6.23,63.16,5.16,90.48,18.28,80.27,2.79,52.94,20.19,40.26,0.18,1.64,0.16,0.0,0.9,36.36,0.74,2.95,55.56,4.1,42.0,1.07,23.08,0.74,1.31,4.59,73.21,60.75,8.77,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.61,1.15,0.08,0.0,2.46,0,0.0,2021-22,MID,57.89867581026883,2025-08-09T10:11:29.451980,simple_processor,True
Diogo,Diogo Luis Santo Alexandre Gama,32988,,BG Pathum United FC,,,"CF, LAMF, RWF",CF,54.0,LAMF,16.0,RWF,10.0,35.0,1987-05-26,0,,14,1096,10,7.51,2,2.54,21.19,43.41,Brazil,['Brazil'],right,182,82,False,3.2,2.14,57.69,4.19,58.82,0.16,0.29,0.0,1.81,3.2,1.23,3,0.25,1,0.08,4.76,0.8200000000000001,6,0.49,0.62,2,0.16,36,2.96,47.22,27.778,0.16,2.38,48.28,1.07,53.85,1.31,43.75,0.08,3.86,48.94,10.43,37.01,4.68,1.23,0.16,24.72,2.38,2.46,31.12,79.42,6.73,58.54,7.23,97.73,27.76,82.54,1.15,57.14,16.32,17.97,0.21,1.56,0.0,0.08,0.9,36.36,0.8200000000000001,2.63,68.75,2.79,67.65,0.8200000000000001,30.0,1.81,0.9,4.93,93.33,79.84,10.18,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.19,0.25,0.25,0.0,0.0,4,100.0,2021-22,FWD,57.765589262158485,2025-08-09T10:11:29.451980,simple_processor,True
G. Verzura,Gionata Verzura,298706,Chiangrai United,Chiangrai United,https://cdn5.wyscout.com/photos/team/public/g14802_120x120.png,Thai League,RCMF,RCMF,76.0,,0.0,,0.0,30.0,1992-05-27,100000,2025-06-30,24,1088,0,0.63,1,0.95,18.69,49.12,Thailand,['Thailand'],,170,60,False,7.86,8.11,57.14,1.16,21.43,0.08,0.12,0.41,3.14,4.4,1.49,2,0.17,0,0.0,2.23,0.0,0,0.0,0.05,0,0.0,20,1.65,10.0,0.0,0.08,0.66,25.0,0.08,0.0,0.58,28.57,0.08,3.14,55.26,6.95,46.43,0.91,0.66,0.25,27.46,0.5,0.66,37.39,88.27,6.87,77.11,6.2,93.33,35.07,91.27,1.74,47.62,15.98,17.78,0.08,0.33,0.0,0.08,0.17,100.0,0.25,4.63,82.14,0.91,45.45,0.25,66.67,0.66,0.25,2.98,69.44,90.22,15.22,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,1.16,0.0,0.0,0.0,0.17,0,0.0,2021-22,MID,51.83389245841258,2025-08-09T10:11:29.451980,simple_processor,True
E. Dolah,Elias Dolah,292993,Bali United,Port FC,https://cdn5.wyscout.com/photos/team/public/g6715_120x120.png,Liga 1,RCB,RCB,90.0,,0.0,,0.0,29.0,1993-04-24,350000,2025-05-31,13,1083,0,0.64,0,0.0,13.38,59.63,Sweden,"['Sweden', 'Thailand']",right,195,86,False,7.65,5.15,67.74,5.65,61.76,0.17,0.27,0.75,3.99,6.37,1.25,2,0.17,0,0.0,0.08,0.0,0,0.0,0.05,0,0.0,4,0.33,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.08,100.0,0.0,0.08,0.0,0.33,0.0,0.42,0.08,0.0,25.18,0.25,0.25,35.07,88.39,16.2,78.97,1.33,93.75,30.33,94.52,4.65,48.21,19.92,30.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.49,57.41,0.25,0.0,0.42,20.0,0.17,0.08,5.82,75.71,98.36,15.21,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,5.65,0.0,0.0,0.0,0.0,0,0.0,2021-22,DEF,54.94069161453311,2025-08-09T10:11:29.451980,simple_processor,True
R. Nawanno,Ratchapol Nawanno,288061,Samut Sakhon City,Prachuap,https://cdn5.wyscout.com/photos/team/public/g-17202_120x120.png,,"RCMF3, RCMF",RCMF3,46.0,RCMF,23.0,,0.0,36.0,1986-04-28,0,2025-06-30,22,1081,0,0.08,0,0.61,11.49,52.9,Thailand,['Thailand'],right,171,63,False,5.16,4.16,58.0,1.17,50.0,0.58,0.8,0.0,2.16,2.97,1.0,2,0.17,0,0.0,1.5,0.0,0,0.0,0.01,0,0.0,3,0.25,0.0,0.0,0.0,0.42,20.0,0.17,50.0,0.25,0.0,0.0,1.17,64.29,3.66,50.0,0.58,0.0,0.17,31.39,0.8300000000000001,1.5,42.13,86.76,11.24,69.63,7.83,93.62,38.38,89.59,3.41,60.98,16.48,24.52,0.05,1.08,0.08,0.0,1.67,40.0,0.08,6.66,66.25,2.16,46.15,1.5,38.89,0.67,0.08,4.58,78.18,93.58,15.57,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.17,0.0,0.0,0.0,0.33,0,0.0,2021-22,MID,44.512856690847045,2025-08-09T10:11:29.451980,simple_processor,True
